연번,위치주소(지번 비공개),조사년도,빈집유형,주택유형,철거 또는 활용동의,관리부서,데이터기준일자,위도,경도,좌표정확도,읍면,주거적합점수,관광숙박적합점수,추천용도
1,전라남도 담양군 담양읍 담주리,2022,활용형,단독주택,미동의,도시과,2023-05-15,35.3217434163629,126.980811486778,정확(리 단위),담양읍,52.0,72.0,관광·숙박(게스트하우스/카페)
2,전라남도 담양군 담양읍 담주리,2022,활용형,단독주택,미동의,도시과,2023-05-15,35.3217434163629,126.980811486778,정확(리 단위),담양읍,52.0,72.0,관광·숙박(게스트하우스/카페)
3,전라남도 담양군 담양읍 남산리,2022,활용형,단독주택,미동의,도시과,2023-05-15,35.3183016952031,126.994158352598,정확(리 단위),담양읍,52.0,72.0,관광·숙박(게스트하우스/카페)
4,전라남도 담양군 담양읍 향교리,2022,활용형,단독주택,미동의,도시과,2023-05-15,35.3279852696035,126.988860832159,정확(리 단위),담양읍,52.0,72.0,관광·숙박(게스트하우스/카페)
5,전라남도 담양군 담양읍 향교리,2022,활용형,단독주택,미동의,도시과,2023-05-15,35.3279852696035,126.988860832159,정확(리 단위),담양읍,52.0,72.0,관광·숙박(게스트하우스/카페)
6,전라남도 담양군 담양읍 양각리,2022,활용형,단독주택,미동의,도시과,2023-05-15,35.320671295566,126.973716219055,정확(리 단위),담양읍,52.0,72.0,관광·숙박(게스트하우스/카페)
7,전라남도 담양군 담양읍 양각리,2022,활용형,단독주택,동의,도시과,2023-05-15,35.320671295566,126.973716219055,정확(리 단위),담양읍,52.0,72.0,관광·숙박(게스트하우스/카페)
8,전라남도 담양군 담양읍 양각리,2022,활용형,단독주택,미동의,도시과,2023-05-15,35.320671295566,126.973716219055,정확(리 단위),담양읍,52.0,72.0,관광·숙박(게스트하우스/카페)
9,전라남도 담양군 담양읍 반룡리,2022,활용형,단독주택,미동의,도시과,2023-05-15,35.2969063255963,126.981855201849,정확(리 단위),담양읍,52.0,72.0,관광·숙박(게스트하우스/카페)
10,전라남도 담양군 담양읍 오계리,2022,철거형,단독주택,미동의,도시과,2023-05-15,35.30517101162,126.994031751105,정확(리 단위),담양읍,52.0,72.0,관광·숙박(게스트하우스/카페)
11,전라남도 담양군 담양읍 오계리,2022,활용형,단독주택,미동의,도시과,2023-05-15,35.30517101162,126.994031751105,정확(리 단위),담양읍,52.0,72.0,관광·숙박(게스트하우스/카페)
12,전라남도 담양군 담양읍 오계리,2022,활용형,단독주택,미동의,도시과,2023-05-15,35.30517101162,126.994031751105,정확(리 단위),담양읍,52.0,72.0,관광·숙박(게스트하우스/카페)
13,전라남도 담양군 담양읍 오계리,2022,활용형,단독주택,미동의,도시과,2023-05-15,35.30517101162,126.994031751105,정확(리 단위),담양읍,52.0,72.0,관광·숙박(게스트하우스/카페)
14,전라남도 담양군 담양읍 학동리,2022,활용형,단독주택,미동의,도시과,2023-05-15,35.3209620997338,127.010773089645,정확(리 단위),담양읍,52.0,72.0,관광·숙박(게스트하우스/카페)
15,전라남도 담양군 담양읍 학동리,2022,활용형,단독주택,미동의,도시과,2023-05-15,35.3209620997338,127.010773089645,정확(리 단위),담양읍,52.0,72.0,관광·숙박(게스트하우스/카페)
16,전라남도 담양군 담양읍 학동리,2022,활용형,단독주택,미동의,도시과,2023-05-15,35.3209620997338,127.010773089645,정확(리 단위),담양읍,52.0,72.0,관광·숙박(게스트하우스/카페)
17,전라남도 담양군 담양읍 학동리,2022,활용형,단독주택,미동의,도시과,2023-05-15,35.3209620997338,127.010773089645,정확(리 단위),담양읍,52.0,72.0,관광·숙박(게스트하우스/카페)
18,전라남도 담양군 담양읍 학동리,2022,활용형,단독주택,미동의,도시과,2023-05-15,35.3209620997338,127.010773089645,정확(리 단위),담양읍,52.0,72.0,관광·숙박(게스트하우스/카페)
