연번,위치주소(지번 비공개),조사년도,빈집유형,주택유형,철거 또는 활용동의,관리부서,데이터기준일자,위도,경도,좌표정확도
1,전라남도 담양군 담양읍 담주리,2022,활용형,단독주택,미동의,도시과,2023-05-15,35.3217434163629,126.980811486778,정확(리 단위)
2,전라남도 담양군 담양읍 담주리,2022,활용형,단독주택,미동의,도시과,2023-05-15,35.3217434163629,126.980811486778,정확(리 단위)
3,전라남도 담양군 담양읍 남산리,2022,활용형,단독주택,미동의,도시과,2023-05-15,35.3183016952031,126.994158352598,정확(리 단위)
4,전라남도 담양군 담양읍 향교리,2022,활용형,단독주택,미동의,도시과,2023-05-15,35.3279852696035,126.988860832159,정확(리 단위)
5,전라남도 담양군 담양읍 향교리,2022,활용형,단독주택,미동의,도시과,2023-05-15,35.3279852696035,126.988860832159,정확(리 단위)
6,전라남도 담양군 담양읍 양각리,2022,활용형,단독주택,미동의,도시과,2023-05-15,35.320671295566,126.973716219055,정확(리 단위)
7,전라남도 담양군 담양읍 양각리,2022,활용형,단독주택,동의,도시과,2023-05-15,35.320671295566,126.973716219055,정확(리 단위)
8,전라남도 담양군 담양읍 양각리,2022,활용형,단독주택,미동의,도시과,2023-05-15,35.320671295566,126.973716219055,정확(리 단위)
9,전라남도 담양군 담양읍 반룡리,2022,활용형,단독주택,미동의,도시과,2023-05-15,35.2969063255963,126.981855201849,정확(리 단위)
10,전라남도 담양군 담양읍 오계리,2022,철거형,단독주택,미동의,도시과,2023-05-15,35.30517101162,126.994031751105,정확(리 단위)
11,전라남도 담양군 담양읍 오계리,2022,활용형,단독주택,미동의,도시과,2023-05-15,35.30517101162,126.994031751105,정확(리 단위)
12,전라남도 담양군 담양읍 오계리,2022,활용형,단독주택,미동의,도시과,2023-05-15,35.30517101162,126.994031751105,정확(리 단위)
13,전라남도 담양군 담양읍 오계리,2022,활용형,단독주택,미동의,도시과,2023-05-15,35.30517101162,126.994031751105,정확(리 단위)
14,전라남도 담양군 담양읍 학동리,2022,활용형,단독주택,미동의,도시과,2023-05-15,35.3209620997338,127.010773089645,정확(리 단위)
15,전라남도 담양군 담양읍 학동리,2022,활용형,단독주택,미동의,도시과,2023-05-15,35.3209620997338,127.010773089645,정확(리 단위)
16,전라남도 담양군 담양읍 학동리,2022,활용형,단독주택,미동의,도시과,2023-05-15,35.3209620997338,127.010773089645,정확(리 단위)
17,전라남도 담양군 담양읍 학동리,2022,활용형,단독주택,미동의,도시과,2023-05-15,35.3209620997338,127.010773089645,정확(리 단위)
18,전라남도 담양군 담양읍 학동리,2022,활용형,단독주택,미동의,도시과,2023-05-15,35.3209620997338,127.010773089645,정확(리 단위)
19,전라남도 담양군 담양읍 학동리,2022,철거형,단독주택,미동의,도시과,2023-05-15,35.3209620997338,127.010773089645,정확(리 단위)
20,전라남도 담양군 담양읍 학동리,2022,활용형,단독주택,동의,도시과,2023-05-15,35.3209620997338,127.010773089645,정확(리 단위)
21,전라남도 담양군 담양읍 학동리,2022,활용형,단독주택,미동의,도시과,2023-05-15,35.3209620997338,127.010773089645,정확(리 단위)
22,전라남도 담양군 담양읍 학동리,2022,활용형,단독주택,미동의,도시과,2023-05-15,35.3209620997338,127.010773089645,정확(리 단위)
23,전라남도 담양군 담양읍 금월리,2022,활용형,단독주택,미동의,도시과,2023-05-15,35.3312449634832,127.003268852288,정확(리 단위)
24,전라남도 담양군 담양읍 삼다리,2022,활용형,단독주택,미동의,도시과,2023-05-15,35.3215043143917,126.961038019722,정확(리 단위)
25,전라남도 담양군 담양읍 삼다리,2022,활용형,단독주택,미동의,도시과,2023-05-15,35.3215043143917,126.961038019722,정확(리 단위)
26,전라남도 담양군 담양읍 삼다리,2022,활용형,단독주택,미동의,도시과,2023-05-15,35.3215043143917,126.961038019722,정확(리 단위)
27,전라남도 담양군 담양읍 삼다리,2022,활용형,단독주택,미동의,도시과,2023-05-15,35.3215043143917,126.961038019722,정확(리 단위)
28,전라남도 담양군 봉산면 대추리,2022,활용형,단독주택,미동의,도시과,2023-05-15,35.2929254738754,126.9635142956,정확(리 단위)
29,전라남도 담양군 봉산면 대추리,2022,철거형,단독주택,미동의,도시과,2023-05-15,35.2929254738754,126.9635142956,정확(리 단위)
30,전라남도 담양군 봉산면 대추리,2022,활용형,단독주택,미동의,도시과,2023-05-15,35.2929254738754,126.9635142956,정확(리 단위)
31,전라남도 담양군 봉산면 대추리,2022,철거형,단독주택,미동의,도시과,2023-05-15,35.2929254738754,126.9635142956,정확(리 단위)
32,전라남도 담양군 봉산면 대추리,2022,활용형,단독주택,동의,도시과,2023-05-15,35.2929254738754,126.9635142956,정확(리 단위)
33,전라남도 담양군 봉산면 대추리,2022,활용형,단독주택,미동의,도시과,2023-05-15,35.2929254738754,126.9635142956,정확(리 단위)
34,전라남도 담양군 봉산면 대추리,2022,활용형,단독주택,미동의,도시과,2023-05-15,35.2929254738754,126.9635142956,정확(리 단위)
35,전라남도 담양군 봉산면 대추리,2022,활용형,단독주택,미동의,도시과,2023-05-15,35.2929254738754,126.9635142956,정확(리 단위)
36,전라남도 담양군 봉산면 대추리,2022,활용형,단독주택,미동의,도시과,2023-05-15,35.2929254738754,126.9635142956,정확(리 단위)
37,전라남도 담양군 봉산면 대추리,2022,활용형,단독주택,미동의,도시과,2023-05-15,35.2929254738754,126.9635142956,정확(리 단위)
38,전라남도 담양군 봉산면 대추리,2022,활용형,단독주택,미동의,도시과,2023-05-15,35.2929254738754,126.9635142956,정확(리 단위)
39,전라남도 담양군 봉산면 대추리,2022,활용형,단독주택,미동의,도시과,2023-05-15,35.2929254738754,126.9635142956,정확(리 단위)
40,전라남도 담양군 봉산면 제월리,2022,철거형,단독주택,미동의,도시과,2023-05-15,35.2832175421132,126.968144223762,정확(리 단위)
41,전라남도 담양군 봉산면 제월리,2022,철거형,단독주택,미동의,도시과,2023-05-15,35.2832175421132,126.968144223762,정확(리 단위)
42,전라남도 담양군 봉산면 제월리,2022,활용형,단독주택,미동의,도시과,2023-05-15,35.2832175421132,126.968144223762,정확(리 단위)
43,전라남도 담양군 봉산면 제월리,2022,철거형,단독주택,미동의,도시과,2023-05-15,35.2832175421132,126.968144223762,정확(리 단위)
44,전라남도 담양군 봉산면 제월리,2022,활용형,단독주택,미동의,도시과,2023-05-15,35.2832175421132,126.968144223762,정확(리 단위)
45,전라남도 담양군 봉산면 제월리,2022,활용형,단독주택,미동의,도시과,2023-05-15,35.2832175421132,126.968144223762,정확(리 단위)
46,전라남도 담양군 봉산면 제월리 산,2022,활용형,단독주택,미동의,도시과,2023-05-15,35.2761980165593,126.956904986794,근사(읍면 단위)
47,전라남도 담양군 봉산면 제월리 산,2022,활용형,단독주택,미동의,도시과,2023-05-15,35.2761980165593,126.956904986794,근사(읍면 단위)
48,전라남도 담양군 봉산면 신학리,2022,활용형,단독주택,미동의,도시과,2023-05-15,35.2736751754828,126.949924813835,정확(리 단위)
49,전라남도 담양군 봉산면 신학리,2022,활용형,단독주택,미동의,도시과,2023-05-15,35.2736751754828,126.949924813835,정확(리 단위)
