연번,위치주소(지번 비공개),조사년도,빈집유형,주택유형,철거 또는 활용동의,관리부서,데이터기준일자
1,전라남도 담양군 담양읍 담주리,2022,활용형,단독주택,미동의,도시과,2023-05-15
2,전라남도 담양군 담양읍 담주리,2022,활용형,단독주택,미동의,도시과,2023-05-15
3,전라남도 담양군 담양읍 남산리,2022,활용형,단독주택,미동의,도시과,2023-05-15
4,전라남도 담양군 담양읍 향교리,2022,활용형,단독주택,미동의,도시과,2023-05-15
5,전라남도 담양군 담양읍 향교리,2022,활용형,단독주택,미동의,도시과,2023-05-15
6,전라남도 담양군 담양읍 양각리,2022,활용형,단독주택,미동의,도시과,2023-05-15
7,전라남도 담양군 담양읍 양각리,2022,활용형,단독주택,동의,도시과,2023-05-15
8,전라남도 담양군 담양읍 양각리,2022,활용형,단독주택,미동의,도시과,2023-05-15
9,전라남도 담양군 담양읍 반룡리,2022,활용형,단독주택,미동의,도시과,2023-05-15
10,전라남도 담양군 담양읍 오계리,2022,철거형,단독주택,미동의,도시과,2023-05-15
11,전라남도 담양군 담양읍 오계리,2022,활용형,단독주택,미동의,도시과,2023-05-15
12,전라남도 담양군 담양읍 오계리,2022,활용형,단독주택,미동의,도시과,2023-05-15
13,전라남도 담양군 담양읍 오계리,2022,활용형,단독주택,미동의,도시과,2023-05-15
14,전라남도 담양군 담양읍 학동리,2022,활용형,단독주택,미동의,도시과,2023-05-15
15,전라남도 담양군 담양읍 학동리,2022,활용형,단독주택,미동의,도시과,2023-05-15
16,전라남도 담양군 담양읍 학동리,2022,활용형,단독주택,미동의,도시과,2023-05-15
17,전라남도 담양군 담양읍 학동리,2022,활용형,단독주택,미동의,도시과,2023-05-15
18,전라남도 담양군 담양읍 학동리,2022,활용형,단독주택,미동의,도시과,2023-05-15
19,전라남도 담양군 담양읍 학동리,2022,철거형,단독주택,미동의,도시과,2023-05-15
20,전라남도 담양군 담양읍 학동리,2022,활용형,단독주택,동의,도시과,2023-05-15
21,전라남도 담양군 담양읍 학동리,2022,활용형,단독주택,미동의,도시과,2023-05-15
22,전라남도 담양군 담양읍 학동리,2022,활용형,단독주택,미동의,도시과,2023-05-15
23,전라남도 담양군 담양읍 금월리,2022,활용형,단독주택,미동의,도시과,2023-05-15
24,전라남도 담양군 담양읍 삼다리,2022,활용형,단독주택,미동의,도시과,2023-05-15
25,전라남도 담양군 담양읍 삼다리,2022,활용형,단독주택,미동의,도시과,2023-05-15
26,전라남도 담양군 담양읍 삼다리,2022,활용형,단독주택,미동의,도시과,2023-05-15
27,전라남도 담양군 담양읍 삼다리,2022,활용형,단독주택,미동의,도시과,2023-05-15
28,전라남도 담양군 봉산면 대추리,2022,활용형,단독주택,미동의,도시과,2023-05-15
29,전라남도 담양군 봉산면 대추리,2022,철거형,단독주택,미동의,도시과,2023-05-15
30,전라남도 담양군 봉산면 대추리,2022,활용형,단독주택,미동의,도시과,2023-05-15
31,전라남도 담양군 봉산면 대추리,2022,철거형,단독주택,미동의,도시과,2023-05-15
32,전라남도 담양군 봉산면 대추리,2022,활용형,단독주택,동의,도시과,2023-05-15
33,전라남도 담양군 봉산면 대추리,2022,활용형,단독주택,미동의,도시과,2023-05-15
34,전라남도 담양군 봉산면 대추리,2022,활용형,단독주택,미동의,도시과,2023-05-15
35,전라남도 담양군 봉산면 대추리,2022,활용형,단독주택,미동의,도시과,2023-05-15
36,전라남도 담양군 봉산면 대추리,2022,활용형,단독주택,미동의,도시과,2023-05-15
37,전라남도 담양군 봉산면 대추리,2022,활용형,단독주택,미동의,도시과,2023-05-15
38,전라남도 담양군 봉산면 대추리,2022,활용형,단독주택,미동의,도시과,2023-05-15
39,전라남도 담양군 봉산면 대추리,2022,활용형,단독주택,미동의,도시과,2023-05-15
40,전라남도 담양군 봉산면 제월리,2022,철거형,단독주택,미동의,도시과,2023-05-15
41,전라남도 담양군 봉산면 제월리,2022,철거형,단독주택,미동의,도시과,2023-05-15
42,전라남도 담양군 봉산면 제월리,2022,활용형,단독주택,미동의,도시과,2023-05-15
43,전라남도 담양군 봉산면 제월리,2022,철거형,단독주택,미동의,도시과,2023-05-15
44,전라남도 담양군 봉산면 제월리,2022,활용형,단독주택,미동의,도시과,2023-05-15
45,전라남도 담양군 봉산면 제월리,2022,활용형,단독주택,미동의,도시과,2023-05-15
46,전라남도 담양군 봉산면 제월리 산,2022,활용형,단독주택,미동의,도시과,2023-05-15
47,전라남도 담양군 봉산면 제월리 산,2022,활용형,단독주택,미동의,도시과,2023-05-15
48,전라남도 담양군 봉산면 신학리,2022,활용형,단독주택,미동의,도시과,2023-05-15
49,전라남도 담양군 봉산면 신학리,2022,활용형,단독주택,미동의,도시과,2023-05-15
50,전라남도 담양군 봉산면 신학리,2022,활용형,단독주택,미동의,도시과,2023-05-15
51,전라남도 담양군 봉산면 신학리,2022,활용형,단독주택,미동의,도시과,2023-05-15
52,전라남도 담양군 봉산면 신학리,2022,활용형,단독주택,미동의,도시과,2023-05-15
53,전라남도 담양군 봉산면 신학리,2022,활용형,단독주택,미동의,도시과,2023-05-15
54,전라남도 담양군 봉산면 신학리,2022,활용형,단독주택,미동의,도시과,2023-05-15
55,전라남도 담양군 봉산면 신학리 산,2022,활용형,단독주택,미동의,도시과,2023-05-15
56,전라남도 담양군 봉산면 기곡리,2022,활용형,단독주택,미동의,도시과,2023-05-15
57,전라남도 담양군 봉산면 기곡리,2022,활용형,단독주택,미동의,도시과,2023-05-15
58,전라남도 담양군 봉산면 기곡리,2022,활용형,단독주택,미동의,도시과,2023-05-15
59,전라남도 담양군 봉산면 기곡리,2022,활용형,단독주택,미동의,도시과,2023-05-15
60,전라남도 담양군 봉산면 기곡리,2022,활용형,단독주택,미동의,도시과,2023-05-15
61,전라남도 담양군 봉산면 기곡리,2022,활용형,단독주택,미동의,도시과,2023-05-15
62,전라남도 담양군 봉산면 기곡리,2022,철거형,단독주택,미동의,도시과,2023-05-15
63,전라남도 담양군 봉산면 연동리,2022,활용형,단독주택,미동의,도시과,2023-05-15
64,전라남도 담양군 봉산면 연동리,2022,활용형,단독주택,미동의,도시과,2023-05-15
65,전라남도 담양군 봉산면 연동리,2022,활용형,단독주택,미동의,도시과,2023-05-15
66,전라남도 담양군 봉산면 연동리,2022,활용형,단독주택,미동의,도시과,2023-05-15
67,전라남도 담양군 봉산면 유산리,2022,철거형,단독주택,미동의,도시과,2023-05-15
68,전라남도 담양군 봉산면 유산리,2022,활용형,단독주택,미동의,도시과,2023-05-15
69,전라남도 담양군 봉산면 유산리,2022,활용형,단독주택,미동의,도시과,2023-05-15
70,전라남도 담양군 봉산면 유산리,2022,활용형,단독주택,미동의,도시과,2023-05-15
71,전라남도 담양군 봉산면 양지리,2022,철거형,단독주택,미동의,도시과,2023-05-15
72,전라남도 담양군 봉산면 양지리,2022,철거형,단독주택,미동의,도시과,2023-05-15
73,전라남도 담양군 봉산면 와우리,2022,활용형,단독주택,미동의,도시과,2023-05-15
74,전라남도 담양군 봉산면 와우리,2022,활용형,단독주택,미동의,도시과,2023-05-15
75,전라남도 담양군 봉산면 삼지리,2022,활용형,단독주택,미동의,도시과,2023-05-15
76,전라남도 담양군 봉산면 삼지리,2022,활용형,단독주택,미동의,도시과,2023-05-15
77,전라남도 담양군 봉산면 삼지리,2022,활용형,단독주택,미동의,도시과,2023-05-15
78,전라남도 담양군 봉산면 삼지리,2022,활용형,단독주택,미동의,도시과,2023-05-15
79,전라남도 담양군 고서면 교산리,2022,활용형,단독주택,미동의,도시과,2023-05-15
80,전라남도 담양군 고서면 교산리,2022,활용형,단독주택,미동의,도시과,2023-05-15
81,전라남도 담양군 고서면 교산리,2022,활용형,단독주택,미동의,도시과,2023-05-15
82,전라남도 담양군 고서면 교산리,2022,활용형,단독주택,미동의,도시과,2023-05-15
83,전라남도 담양군 고서면 고읍리,2022,철거형,단독주택,미동의,도시과,2023-05-15
84,전라남도 담양군 고서면 고읍리,2022,활용형,단독주택,미동의,도시과,2023-05-15
85,전라남도 담양군 고서면 고읍리,2022,활용형,단독주택,미동의,도시과,2023-05-15
86,전라남도 담양군 고서면 분향리,2022,활용형,단독주택,미동의,도시과,2023-05-15
