읍면,개수,위도,경도
가사문학면,20,35.16315212811423,127.04368095598629
고서면,25,35.21897842376025,126.97253277962947
금성면,15,35.350963226460735,127.03309628174993
담양읍,27,35.31864016461349,126.99100046636619
대덕면,39,35.24762475900968,127.04810245602806
대전면,40,35.27082271633092,126.89583570498806
무정면,43,35.28780618827757,127.02885007932035
봉산면,51,35.27463557807405,126.95848554256268
수북면,67,35.29425510732754,126.93366392283703
용면,24,35.38269070228322,126.99661500211863
월산면,36,35.36123142914032,126.94842819901088
창평면,18,35.232772789836396,127.00840215817827
