읍면,개수,위도,경도,학교수,편의점수,마트수,관광명소수,카페수,공원수,카페밀도,주거적합점수,관광숙박적합점수,추천용도
가사문학면,20,35.16315212811423,127.04368095598628,1,0,1,33,3,1,0.11,5.0,19.1,관광·숙박(게스트하우스/카페)
고서면,25,35.21897842376025,126.97253277962947,3,1,1,52,11,1,0.39,12.0,29.9,관광·숙박(게스트하우스/카페)
금성면,15,35.350963226460735,127.03309628174992,2,1,1,52,15,5,0.53,9.0,38.6,관광·숙박(게스트하우스/카페)
담양읍,27,35.31864016461349,126.9910004663662,8,18,5,44,124,14,4.39,52.0,72.0,관광·숙박(게스트하우스/카페)
대덕면,39,35.24762475900968,127.04810245602806,2,0,1,44,11,1,0.39,8.0,25.9,관광·숙박(게스트하우스/카페)
대전면,40,35.27082271633092,126.89583570498806,3,1,1,28,21,4,0.74,12.0,25.7,관광·숙박(게스트하우스/카페)
무정면,43,35.28780618827757,127.02885007932036,1,1,1,37,4,2,0.14,6.0,23.2,관광·숙박(게스트하우스/카페)
봉산면,51,35.27463557807405,126.95848554256268,1,0,1,46,14,0,0.5,5.0,25.5,관광·숙박(게스트하우스/카페)
수북면,67,35.29425510732754,126.93366392283704,4,2,3,12,27,2,0.95,20.0,14.8,주거
용면,24,35.38269070228322,126.99661500211865,1,0,2,47,16,0,0.57,7.0,26.4,관광·숙박(게스트하우스/카페)
월산면,36,35.36123142914032,126.94842819901088,1,1,1,55,6,2,0.21,6.0,32.5,관광·숙박(게스트하우스/카페)
창평면,18,35.232772789836396,127.00840215817828,4,2,1,36,19,3,0.67,16.0,27.4,관광·숙박(게스트하우스/카페)
